tower_id|tower_height|access|transport|latitude|longitude|geom
327|30.0|2G|SATELLITE|-6.02500934573387|-75.873430656687|0101000020E6100000D972B249E6F752C0D715C80C9C1918C0
333|30.0|2G|SATELLITE|-5.51458400075028|-75.8589521678929|0101000020E6100000697B8312F9F652C0B511B91BEF0E16C0
320|30.0|4G|MICROWAVE|-5.88893191012214|-76.1129550906649|0101000020E6100000A314FDA73A0753C0B161A92A448E17C0
326|30.0|4G|MICROWAVE|-5.89408884785614|-76.1068140743227|0101000020E6100000FCFDB20AD60653C0B10AE5068C9317C0
373|30.0|2G|SATELLITE|-3.72605485412879|-73.2533803889804|0101000020E610000097076162375052C07FAEECD8F5CE0DC0
384|30.0|2G|SATELLITE|-5.23138888888889|-75.6775|0101000020E61000008FC2F5285CEB52C004BE7935F1EC14C0
21004|90.0|2G|SATELLITE|-5.49125|-75.825361|0101000020E61000003599F1B6D2F452C0D7A3703D0AF715C0
11107|90.0|2G|SATELLITE|-4.505944|-73.578722|0101000020E610000072DEFFC7096552C0016E162F160612C0
13104|90.0|2G|SATELLITE|-3.828861|-73.325611|0101000020E6100000F10D85CFD65452C058703FE081A10EC0
11006|90.0|2G|SATELLITE|-5.729222|-76.002361|0101000020E61000004B72C0AE260053C04818062CB9EA16C0
31004|90.0|2G|SATELLITE|-5.225667|-75.677722|0101000020E6100000E77118CC5FEB52C04E25034015E714C0
61004|90.0|2G|SATELLITE|-4.528583|-74.642833|0101000020E610000088F2052D24A952C0E3E2A8DC441D12C0
7950|90.0|2G|SATELLITE|-4.585722|-74.390611|0101000020E61000004E9D47C5FF9852C0DB300A82C75712C0
8107|90.0|2G|SATELLITE|-4.455306|-74.077306|0101000020E61000003672DD94F28452C0B8B06EBC3BD211C0
12106|90.0|2G|SATELLITE|-4.00811|-73.15598|0101000020E610000020B58993FB4952C00E15E3FC4D0810C0
7773|24.0|2G|SATELLITE|-3.779915|-73.279953|0101000020E6100000B2DAFCBFEA5152C05A475513443D0EC0
7841|30.0|2G|SATELLITE|-3.71944|-73.24279|0101000020E6100000EF7211DF894F52C053793BC269C10DC0
7827|25.0|2G|SATELLITE|-3.73679|-73.26266|0101000020E6100000E97DE36BCF5052C0A228D027F2E40DC0
78101|20.0|2G|SATELLITE|-3.74976|-73.26253|0101000020E6100000020EA14ACD5052C0ACCABE2B82FF0DC0
7823|25.0|2G|SATELLITE|-3.73944|-73.24752|0101000020E6100000C746205ED74F52C07CD5CA845FEA0DC0
7768|30.0|2G|SATELLITE|-3.78623|-73.3002|0101000020E610000097900F7A365352C0991249F4324A0EC0
7798|25.0|2G|SATELLITE|-3.75613|-73.27159|0101000020E6100000ECFA05BB615152C02332ACE28D0C0EC0
7771|24.0|2G|SATELLITE|-3.78015|-73.31028|0101000020E61000009626A5A0DB5352C092CB7F48BF3D0EC0
7821|24.0|2G|SATELLITE|-3.74283|-73.2642|0101000020E61000009BE61DA7E85052C0C5E6E3DA50F10DC0
7834|30.0|2G|SATELLITE|-3.72963|-73.25364|0101000020E6100000473D44A33B5052C09F71E14048D60DC0
6846|30.0|2G|SATELLITE|-6.10934|-76.26847|0101000020E6100000417DCB9C2E1153C01D9430D3F66F18C0
7826|18.0|2G|SATELLITE|-3.738344|-73.25791|0101000020E6100000EDD3F198815052C0259529E620E80DC0
7752|30.0|2G|SATELLITE|-3.888916|-73.351513|0101000020E61000009BC761307F5652C00C21E7FD7F1C0FC0
7845|9.0|2G|SATELLITE|-3.70734|-73.24798|0101000020E6100000F98381E7DE4F52C09B38B9DFA1A80DC0
7836|30.0|2G|SATELLITE|-3.729127|-73.261196|0101000020E610000025766D6FB75052C0740B5D8940D50DC0
7770|42.0|2G|SATELLITE|-3.78307|-73.29497|0101000020E610000046D3D9C9E05252C06BD44334BA430EC0
7000|20.0|4G|MICROWAVE|-5.89402778|-76.10455556|0101000020E610000028B4CD09B10653C00E43B3047C9317C0
7009|25.0|4G|MICROWAVE|-5.88563|-76.12665|0101000020E610000075029A081B0853C0096D3997E28A17C0
7837|30.0|2G|SATELLITE|-3.7262|-73.2491|0101000020E6100000C05B2041F14F52C073D712F241CF0DC0
7772|45.0|2G|SATELLITE|-3.78|-73.2869|0101000020E61000003C4ED1915C5252C03D0AD7A3703D0EC0
6989|70.0|4G|MICROWAVE|-5.90175|-76.10166667|0101000020E610000091AFEBB4810653C008AC1C5A649B17C0
7686|70.0|2G|SATELLITE|-4.50594444|-73.57872222|0101000020E61000009617ECC8096552C078929D4C160612C0
6965|15.0|2G|SATELLITE|-5.939573|-74.713937|0101000020E6100000E199D024B1AD52C085D1AC6C1FC217C0
7761|70.0|2G|SATELLITE|-3.827433|-73.326516|0101000020E6100000BA675DA3E55452C0A20C5531959E0EC0
7889|70.0|2G|SATELLITE|-3.50291|-73.06969|0101000020E6100000EDB60BCD754452C0A0A696ADF5050CC0
7465|30.0|4G|FIBER|-5.058922|-73.852711|0101000020E6100000207C28D1927652C0450F7C0C563C14C0
7293|30.0|2G|SATELLITE|-5.22567|-75.6777|0101000020E6100000F31FD26F5FEB52C0D7C0560916E714C0
7818|20.0|2G|SATELLITE|-3.744108|-73.25222|0101000020E61000006AD95A5F245052C0278925E5EEF30DC0
7829|18.0|2G|SATELLITE|-3.7339|-73.2527|0101000020E6100000C0EC9E3C2C5052C0744694F606DF0DC0
7806|30.0|2G|SATELLITE|-3.75171|-73.26782|0101000020E6100000BE4D7FF6235152C0FA9B508880030EC0
7735|72.0|2G|SATELLITE|-4.00811|-73.15598|0101000020E610000020B58993FB4952C00E15E3FC4D0810C0
7001|20.0|4G|MICROWAVE|-5.893689|-76.10454|0101000020E6100000ED478AC8B00653C0062E8F35239317C0
7767|30.0|2G|SATELLITE|-3.79409|-73.29776|0101000020E6100000A583F57F0E5352C027A5A0DB4B5A0EC0
7904|30.0|2G|SATELLITE|-3.42054|-72.76644|0101000020E610000029965B5A0D3152C05A475513445D0BC0
6995|30.0|4G|FIBER|-5.89789|-76.11019|0101000020E610000029965B5A0D0753C02C9FE579709717C0
6816|15.0|2G|SATELLITE|-6.163707|-75.167215|0101000020E6100000A4198BA6B3CA52C04D81CCCEA2A718C0
69101|15.0|2G|SATELLITE|-6.036747|-74.969097|0101000020E6100000B6696CAF05BE52C08AE76C01A12518C0
6974|15.0|2G|SATELLITE|-5.921774|-74.835606|0101000020E6100000D99596917AB552C061360186E5AF17C0
6837|15.0|2G|SATELLITE|-6.138474|-75.044378|0101000020E61000005CAAD216D7C252C09E62D520CC8D18C0
7733|15.0|2G|SATELLITE|-4.01564|-73.43353|0101000020E61000006FF59CF4BE5B52C0AB09A2EE031010C0
7715|15.0|2G|SATELLITE|-4.22714|-73.48268|0101000020E6100000BB9BA73AE45E52C02A745E6397E810C0
7004|15.0|4G|MICROWAVE|-5.89055|-76.22854|0101000020E6100000FB743C66A00E53C0ABCFD556EC8F17C0
7832|20.0|2G|SATELLITE|-3.73217|-73.29582|0101000020E61000002D6002B7EE5252C008E6E8F17BDB0DC0
7720|20.0|2G|SATELLITE|-4.14166|-73.38041|0101000020E610000091442FA3585852C0FE9AAC510F9110C0
7759|20.0|2G|SATELLITE|-3.834961|-73.15443|0101000020E61000005DE15D2EE24952C0D07B630800AE0EC0
7861|20.0|2G|SATELLITE|-3.602859|-73.16686|0101000020E6100000ADC090D5AD4A52C04BCB48BDA7D20CC0
7751|20.0|2G|SATELLITE|-3.894883|-73.34578|0101000020E610000019E76F42215652C090F8156BB8280FC0
7063|20.0|4G|MICROWAVE|-5.763689|-76.12572|0101000020E6100000001DE6CB0B0853C081423D7D040E17C0
6998|20.0|4G|MICROWAVE|-5.89465|-76.01693889|0101000020E610000028A5DA86150153C032772D211F9417C0
7174|15.0|2G|SATELLITE|-5.512541|-75.8575|0101000020E61000007B14AE47E1F652C0C16F438CD70C16C0
6947|20.0|4G|MICROWAVE|-5.980189|-76.11333|0101000020E6100000F7E978CC400753C085984BAAB6EB17C0
6886|20.0|2G|SATELLITE|-6.05174|-76.18898|0101000020E610000047E6913F180C53C085949F54FB3418C0
7676|20.0|2G|SATELLITE|-4.534385|-73.75916|0101000020E61000009B1BD313967052C050E449D2352312C0
7668|20.0|2G|SATELLITE|-4.563201|-74.3233|0101000020E6100000FFB27BF2B09452C0494C50C3B74012C0
7692|20.0|2G|SATELLITE|-4.464793|-73.43296|0101000020E6100000791EDC9DB55B52C090A339B2F2DB11C0
7753|15.0|2G|SATELLITE|-3.88708|-73.70043|0101000020E6100000C9C859D8D36C52C0467C2766BD180FC0
7206|12.0|2G|SATELLITE|-5.407332|-74.15935|0101000020E610000087A757CA328A52C00475CAA31BA115C0
7279|15.0|2G|SATELLITE|-5.253504|-74.34339|0101000020E610000080F10C1AFA9552C0E99E758D960315C0
7129|9.0|2G|SATELLITE|-5.664699|-74.18882|0101000020E61000002B357BA0158C52C051BCCADAA6A816C0
7860|15.0|2G|SATELLITE|-3.603699|-72.58395|0101000020E6100000F31FD26F5F2552C0F3052D2460D40CC0
7669|15.0|2G|SATELLITE|-4.560221|-74.48465|0101000020E610000069006F81049F52C03221E692AA3D12C0
7677|9.0|2G|SATELLITE|-4.533523|-74.75975|0101000020E6100000B4C876BE9FB052C0BDA772DA532212C0
7073|9.0|2G|SATELLITE|-5.747533|-74.47625|0101000020E610000014AE47E17A9E52C01BB96E4A79FD16C0
7640|15.0|2G|SATELLITE|-4.621037|-74.33526|0101000020E61000000CEA5BE6749552C07F6C921FF17B12C0
7023|15.0|2G|SATELLITE|-5.854551|-74.61525|0101000020E61000004C37894160A752C06F0ED76A0F6B17C0
6898|15.0|2G|SATELLITE|-6.043274|-74.86224|0101000020E61000006553AEF02EB752C08411FB04502C18C0
7172|9.0|2G|SATELLITE|-5.526369|-75.92365|0101000020E6100000D3BCE3141DFB52C04D83A279001B16C0
6864|12.0|2G|SATELLITE|-6.075131|-75.90092|0101000020E6100000FD135CACA8F952C0C1A90F24EF4C18C0
7726|15.0|2G|SATELLITE|-4.10447|-73.45475|0101000020E6100000C976BE9F1A5D52C009A7052FFA6A10C0
7120|9.0|2G|SATELLITE|-5.69057|-74.25401|0101000020E6100000D8B628B3419052C0176536C824C316C0
7148|9.0|2G|SATELLITE|-5.617561|-74.24383|0101000020E610000028F224E99A8F52C0E62329E9617816C0
7236|9.0|2G|SATELLITE|-5.337939|-74.35253|0101000020E6100000F836FDD98F9652C0FA2B64AE0C5A15C0
6933|12.0|2G|SATELLITE|-6.007289|-75.91091|0101000020E61000005CE674594CFA52C0707B82C4760718C0
6709|15.0|2G|SATELLITE|-6.33066|-75.11215|0101000020E6100000C58F31772DC752C0A661F888985219C0
7230|15.0|2G|SATELLITE|-5.34517|-74.09663|0101000020E61000000074982F2F8652C0C53D963E746115C0
7078|9.0|2G|SATELLITE|-5.738811|-74.56488|0101000020E6100000878A71FE26A452C042B3EBDE8AF416C0
7060|9.0|2G|SATELLITE|-5.76698|-74.62656|0101000020E6100000D53E1D8F19A852C08CBE8234631117C0
6926|9.0|2G|SATELLITE|-6.02117|-75.81467|0101000020E610000012C2A38D23F452C012A0A696AD1518C0
7050|12.0|2G|SATELLITE|-5.793748|-74.28657|0101000020E6100000F180B229579252C0C70F9546CC2C17C0
7170|9.0|2G|SATELLITE|-5.53509|-75.92664|0101000020E610000097CADB114EFB52C0A4AA09A2EE2316C0
7670|9.0|2G|SATELLITE|-4.55791|-74.47507|0101000020E6100000E353008C679E52C0087250C24C3B12C0
7731|30.0|2G|SATELLITE|-4.03291|-73.39929|0101000020E6100000ABE7A4F78D5952C06FD8B628B32110C0
7588|15.0|2G|SATELLITE|-4.82681|-75.11776|0101000020E6100000BA313D6189C752C0E605D847A74E13C0
7161|15.0|2G|SATELLITE|-5.56353|-74.17041|0101000020E6100000543A58FFE78A52C0704221020E4116C0
7133|15.0|2G|SATELLITE|-5.66096|-74.68164|0101000020E61000004FE960FD9FAB52C04DDBBFB2D2A416C0
7179|15.0|2G|SATELLITE|-5.497873|-74.419897|0101000020E610000011ACAA97DF9A52C0E23E726BD2FD15C0
7607|15.0|2G|SATELLITE|-4.72615|-73.53297|0101000020E6100000F2EF332E1C6252C02BF697DD93E712C0
7544|15.0|2G|SATELLITE|-4.90497|-73.6672|0101000020E610000009F9A067B36A52C0C971A774B09E13C0
6937|15.0|2G|SATELLITE|-6.00159|-74.68614|0101000020E61000008E1EBFB7E9AB52C0A80018CFA00118C0
6959|15.0|2G|SATELLITE|-5.95412|-75.96509|0101000020E610000096ECD808C4FD52C08CD651D504D117C0
7675|20.0|2G|SATELLITE|-4.53544444|-73.61641667|0101000020E6100000FE96E75E736752C009801A8C4B2412C0
7689|20.0|2G|SATELLITE|-4.48791667|-73.90783333|0101000020E610000067A4F7F0197A52C0FB4A736DA0F311C0
7693|20.0|2G|SATELLITE|-4.45530556|-74.07730556|0101000020E6100000EFFF0493F28452C0418CE79E3BD211C0
7680|20.0|2G|SATELLITE|-4.52858333|-74.64283333|0101000020E61000003E48682E24A952C03C3ECEF2441D12C0
7598|20.0|2G|SATELLITE|-4.78036111|-75.28275|0101000020E61000006ABC749318D252C0BF149AFB161F13C0
7468|20.0|2G|SATELLITE|-5.04394444|-75.54047222|0101000020E6100000FA52CB1897E252C06B9072C5FF2C14C0
7182|20.0|2G|SATELLITE|-5.49125|-75.82536111|0101000020E6100000C7B567B7D2F452C0D7A3703D0AF715C0
7651|20.0|2G|SATELLITE|-4.5861|-74.39074|0101000020E61000004C4F58E2019952C00EBE30992A5812C0
7255|15.0|2G|SATELLITE|-5.30796|-75.72589|0101000020E6100000959F54FB74EE52C096E7C1DD593B15C0
6938|15.0|2G|SATELLITE|-6.00047|-76.24543|0101000020E610000044DD0720B50F53C038842A357B0018C0
69111|15.0|2G|SATELLITE|-6.03548|-76.25618|0101000020E6100000EA78CC40651053C0F8A57EDE542418C0
6871|15.0|2G|SATELLITE|-6.06859|-76.2482|0101000020E610000080B74082E20F53C0A054FB743C4618C0
6949|15.0|2G|SATELLITE|-5.977622|-74.849892|0101000020E610000073486AA164B652C08466D7BD15E917C0
7780|30.0|2G|SATELLITE|-3.767575|-73.281479|0101000020E6100000B1E07EC0035252C04ED1915CFE230EC0
7764|35.0|2G|SATELLITE|-3.805199|-73.340227|0101000020E6100000D68D7747C65552C0DC2C5E2C0C710EC0
7757|15.0|2G|SATELLITE|-3.85919|-73.15171|0101000020E6100000791EDC9DB54952C0E466B8019FDF0EC0
7750|15.0|2G|SATELLITE|-3.90074|-73.7806|0101000020E61000007DD0B359F57152C0A297512CB7340FC0
7716|15.0|2G|SATELLITE|-4.21079|-73.20386|0101000020E61000009B3DD00A0C4D52C09D4B7155D9D710C0
7006|15.0|2G|SATELLITE|-5.88985|-75.95152|0101000020E61000005B5F24B4E5FC52C0E561A1D6348F17C0
7252|15.0|2G|SATELLITE|-5.30985|-74.08959|0101000020E61000001D03B2D7BB8552C093A98251493D15C0
7621|15.0|2G|SATELLITE|-4.67491|-74.28807|0101000020E61000005C3D27BD6F9252C033F9669B1BB312C0
7765|15.0|2G|SATELLITE|-3.7981|-74.40846|0101000020E6100000596E6935249A52C03480B74082620EC0
7429|15.0|2G|SATELLITE|-5.1274|-74.23483|0101000020E6100000A9876874078F52C0A60A4625758214C0
7884|15.0|2G|SATELLITE|-3.520219|-72.84068|0101000020E6100000AF997CB3CD3552C006103E9468290CC0
7886|15.0|2G|SATELLITE|-3.50702|-72.8315|0101000020E6100000F0A7C64B373552C0E6577380600E0CC0
7885|15.0|2G|SATELLITE|-3.50935|-72.50196|0101000020E61000009CF9D51C202052C0A5BDC11726130CC0
7758|15.0|2G|SATELLITE|-3.8468|-73.38771|0101000020E610000042959A3DD05852C0BC0512143FC60EC0
7593|15.0|2G|SATELLITE|-4.81831|-75.39433|0101000020E61000003A75E5B33CD952C084F57F0EF34513C0
7709|15.0|2G|SATELLITE|-4.31965|-74.29487|0101000020E610000094A46B26DF9252C065AA6054524711C0
7896|15.0|2G|SATELLITE|-3.47709|-72.50865|0101000020E610000011C7BAB88D2052C037FDD98F14D10BC0
7685|15.0|2G|SATELLITE|-4.51178|-74.01367|0101000020E6100000EDBB22F8DF8052C0CEFC6A0E100C12C0
7087|15.0|2G|SATELLITE|-5.726237|-76.0074|0101000020E6100000637FD93D790053C0A39410ACAAE716C0
7682|15.0|2G|SATELLITE|-4.52399|-74.66982|0101000020E61000003B8DB454DEAA52C063B9A5D5901812C0
7756|15.0|2G|SATELLITE|-3.86466|-73.61164|0101000020E61000003A3B191C256752C05F46B1DCD2EA0EC0
77101|15.0|2G|SATELLITE|-4.28642|-73.43164|0101000020E61000004FE960FD9F5B52C068AED3484B2511C0
7616|15.0|2G|SATELLITE|-4.69713|-74.25895|0101000020E6100000265305A3929052C0EE3D5C72DCC912C0
7618|15.0|2G|SATELLITE|-4.68753|-74.40204|0101000020E6100000C4EBFA05BB9952C0551344DD07C012C0
7684|15.0|2G|SATELLITE|-4.51203|-73.90562|0101000020E6100000A0A696ADF57952C09548A297510C12C0
7858|15.0|2G|SATELLITE|-3.60692|-72.95792|0101000020E6100000CC0BB08F4E3D52C07B4E7ADFF8DA0CC0
7048|15.0|4G|MICROWAVE|-5.796249|-76.092548|0101000020E6100000DA53724EEC0553C00DE4D9E55B2F17C0
7603|15.0|2G|SATELLITE|-4.76939|-73.62624|0101000020E61000009CDCEF50146852C04E7ADFF8DA1313C0
6986|30.0|4G|MICROWAVE|-5.905667|-76.026917|0101000020E610000036AD1402B90153C00744882B679F17C0
6878|30.0|2G|SATELLITE|-6.05841|-76.19771|0101000020E6100000E605D847A70C53C09609BFD4CF3B18C0
7760|30.0|2G|SATELLITE|-3.83219|-73.15475|0101000020E610000096438B6CE74952C04777103B53A80EC0
7747|30.0|2G|SATELLITE|-3.915528|-73.341194|0101000020E6100000DAE55B1FD65552C00C94145800530FC0
7003|30.0|4G|MICROWAVE|-5.89055|-76.231819|0101000020E6100000DAE55B1FD60E53C0ABCFD556EC8F17C0
7688|30.0|2G|SATELLITE|-4.487917|-73.907833|0101000020E6100000B14E95EF197A52C055A69883A0F311C0
7718|30.0|2G|SATELLITE|-4.1775|-73.37955|0101000020E6100000984C158C4A5852C0F6285C8FC2B510C0
7049|30.0|2G|SATELLITE|-5.79426|-74.28249|0101000020E61000009CDCEF50149252C07715527E522D17C0
7656|30.0|2G|SATELLITE|-4.580967|-74.258522|0101000020E6100000FAD2DB9F8B9052C08F386403E95212C0
7859|30.0|2G|SATELLITE|-3.6043|-73.16658|0101000020E6100000BB0A293FA94A52C04BC8073D9BD50CC0
6955|30.0|4G|MICROWAVE|-5.969361|-76.112361|0101000020E6100000231631EC300753C04912842BA0E017C0
7900|15.0|2G|SATELLITE|-3.457356|-73.144393|0101000020E61000005D3123BC3D4952C0F6083543AAA80BC0
7769|24.0|2G|SATELLITE|-3.78579|-73.286749|0101000020E6100000494A7A185A5252C0D3307C444C490EC0
7835|24.0|2G|SATELLITE|-3.72945|-73.24727|0101000020E61000000BD28C45D34F52C0A089B0E1E9D50DC0
7839|24.0|2G|SATELLITE|-3.724332|-73.255561|0101000020E61000008448861C5B5052C0F7915B936ECB0DC0
7840|24.0|2G|SATELLITE|-3.724139|-73.24553|0101000020E6100000F60B76C3B64F52C0AE10566309CB0DC0
7828|24.0|2G|SATELLITE|-3.73535|-73.258861|0101000020E61000006E4DBA2D915052C0A7E8482EFFE10DC0
7775|40.0|2G|SATELLITE|-3.772446|-73.295147|0101000020E6100000CD203EB0E35252C07B681F2BF82D0EC0
7778|35.0|2G|SATELLITE|-3.770491|-73.286372|0101000020E61000005E9F39EB535252C010E6762FF7290EC0
7784|25.0|2G|SATELLITE|-3.764477|-73.276648|0101000020E61000003E20D099B45152C0815A0C1EA61D0EC0
7844|30.0|2G|SATELLITE|-3.713458|-73.239397|0101000020E6100000AC70CB47524F52C07A8EC87729B50DC0
7766|30.0|2G|SATELLITE|-3.797046|-73.311736|0101000020E6100000183F8D7BF35352C0CC423BA759600EC0
7797|11.0|2G|SATELLITE|-3.756309|-73.247855|0101000020E61000009BC937DBDC4F52C01C5DA5BBEB0C0EC0
7794|11.0|2G|SATELLITE|-3.757471|-73.24841|0101000020E6100000F67F0EF3E54F52C0EA58A5F44C0F0EC0
7792|11.0|2G|SATELLITE|-3.758411|-73.2488|0101000020E6100000ABCFD556EC4F52C0CB694FC939110EC0
7795|11.0|2G|SATELLITE|-3.757471|-73.248405|0101000020E61000006DCA15DEE54F52C0EA58A5F44C0F0EC0
7805|11.0|2G|SATELLITE|-3.752269|-73.24727|0101000020E61000000BD28C45D34F52C0645B069CA5040EC0
6990|11.0|4G|MICROWAVE|-5.900704|-76.111505|0101000020E6100000CA15DEE5220753C06B813D26529A17C0
6996|11.0|4G|MICROWAVE|-5.89575|-76.121858|0101000020E610000062307F85CC0753C06891ED7C3F9517C0
6983|11.0|4G|MICROWAVE|-5.907081|-76.1103|0101000020E6100000EC2FBB270F0753C0BA4A77D7D9A017C0
7728|15.0|2G|SATELLITE|-4.089903|-73.45138|0101000020E61000006284F068E35C52C0C83F33880F5C10C0
6997|11.0|4G|MICROWAVE|-5.895262|-76.104769|0101000020E61000009E280989B40653C0FD67CD8FBF9417C0
6999|11.0|4G|MICROWAVE|-5.894595|-76.105726|0101000020E61000009015FC36C40653C015A930B6109417C0
7112|15.0|2G|SATELLITE|-5.69952|-74.42791|0101000020E610000068E89FE0629B52C078978BF84ECC16C0
76111|15.0|2G|SATELLITE|-4.71174|-74.93008|0101000020E61000007AAA436E86BB52C02905DD5ED2D812C0
6840|5.0|2G|SATELLITE|-6.123067|-76.165032|0101000020E6100000C8B260E28F0A53C009DE9046057E18C0
7609|20.0|2G|SATELLITE|-4.718369|-74.92198|0101000020E61000003BE466B801BB52C045D7851F9CDF12C0
7665|15.0|2G|SATELLITE|-4.57009|-73.68942|0101000020E6100000554D10751F6C52C0481B47ACC54712C0
7908|57.0|2G|SATELLITE|-3.108722|-73.138194|0101000020E610000038A0A52BD84852C080D8D2A3A9DE08C0
7713|45.0|2G|SATELLITE|-4.238583|-73.486709|0101000020E6100000CF6A813D265F52C0BA86191A4FF410C0
7681|45.0|2G|SATELLITE|-4.528583|-74.642833|0101000020E610000088F2052D24A952C0E3E2A8DC441D12C0
7183|45.0|2G|SATELLITE|-5.49125|-75.825361|0101000020E61000003599F1B6D2F452C0D7A3703D0AF715C0
7469|45.0|2G|SATELLITE|-5.043944|-75.540472|0101000020E6100000D619DF1797E252C0F46BEBA7FF2C14C0
7652|45.0|2G|SATELLITE|-4.585722|-74.390611|0101000020E61000004E9D47C5FF9852C0DB300A82C75712C0
7907|66.0|2G|SATELLITE|-3.318778|-73.217194|0101000020E6100000CCB8A981E64D52C06C79E57ADB8C0AC0
80101|15.0|2G|SATELLITE|-3.31226|-73.22038|0101000020E6100000522CB7B41A4E52C0ACCABE2B827F0AC0
331|30.0|4G|MICROWAVE|-5.92514244864574|-75.999503674783|0101000020E610000030DB42DEF7FF52C09C4CC48A58B317C0
319|30.0|4G|MICROWAVE|-5.89478322870778|-76.2325052780687|0101000020E6100000F55CD15DE10E53C0A03C010E429417C0
81101|15.0|2G|SATELLITE|-2.94105|-73.46124|0101000020E6100000DAE6C6F4845D52C0D734EF38458707C0
82101|15.0|2G|SATELLITE|-3.03049|-73.23823|0101000020E610000045BB0A293F4F52C01FD7868A713E08C0
328|30.0|2G|SATELLITE|-5.89095756858718|-75.9515264595539|0101000020E610000003443CCFE5FC52C08DD24C2E579017C0
335|30.0|2G|SATELLITE|-5.62916666666667|-75.955|0101000020E610000085EB51B81EFD52C048444444448416C0
368|30.0|2G|SATELLITE|-3.02308333333333|-73.3920833333333|0101000020E6100000497EB1E4175952C09BFE8D50462F08C0
371|30.0|2G|SATELLITE|-3.49997222222222|-73.0911111111111|0101000020E610000090A1B2C3D44552C0B2D2BA6FF1FF0BC0
316|30.0|2G|SATELLITE|-6.04928331277774|-76.1768403258158|0101000020E61000008BFF155A510B53C0C9792253773218C0
6754|15.0|2G|SATELLITE|-6.25146|-76.03212|0101000020E61000000B630B410E0253C03602F1BA7E0119C0
6795|15.0|2G|SATELLITE|-6.20961|-75.78102|0101000020E610000067614F3BFCF152C082A8FB00A4D618C0
6792|9.0|2G|SATELLITE|-6.215073|-75.78683|0101000020E6100000BF60376C5BF252C0AC02B5183CDC18C0
6738|9.0|2G|SATELLITE|-6.281772|-75.76081|0101000020E6100000111E6D1CB1F052C0CCB6D3D6882019C0
6732|15.0|2G|SATELLITE|-6.291822|-75.72135|0101000020E61000000EBE30992AEE52C06403E962D32A19C0
6779|9.0|2G|SATELLITE|-6.22359|-75.82675|0101000020E6100000F4FDD478E9F452C0BED9E6C6F4E418C0
6832|45.0|2G|SATELLITE|-6.1425|-75.96395|0101000020E6100000AB3E575BB1FD52C052B81E85EB9118C0
369|30.0|2G|SATELLITE|-3.10872222222222|-73.1381944444445|0101000020E610000031D8822DD84852C0D157A6C1A9DE08C0
314|15.0|4G|MICROWAVE|-5.905003|-76.101394|0101000020E6100000AE80423D7D0653C0A7203F1BB99E17C0
317|30.0|2G|SATELLITE|-6.11316495635003|-76.2713571445513|0101000020E610000090585BEA5D1153C07C4EAA83E17318C0
315|30.0|2G|SATELLITE|-6.04225003463105|-76.157034498059|0101000020E610000076606CDA0C0A53C01DFBD397432B18C0
380|30.0|2G|SATELLITE|-5.08227053426421|-75.5913478129283|0101000020E6100000A5457FA4D8E552C05F5B18BA3E5414C0
321|30.0|4G|MICROWAVE|-5.96033015583201|-76.1520971973351|0101000020E61000008517E2F5BB0953C0EFA4D2C960D717C0
337|30.0|2G|SATELLITE|-5.71132862568861|-75.8466822661188|0101000020E610000057C5D00A30F652C0322A008866D816C0
370|30.0|2G|SATELLITE|-3.31877777777778|-73.2171944444444|0101000020E6100000BEF08683E64D52C01AFA115DDB8C0AC0
51004|90.0|2G|SATELLITE|-4.780361|-75.28275|0101000020E61000006ABC749318D252C0A14B38F4161F13C0
41004|90.0|2G|SATELLITE|-5.043944|-75.540472|0101000020E6100000D619DF1797E252C0F46BEBA7FF2C14C0
14104|90.0|2G|SATELLITE|-3.72963|-73.25364|0101000020E6100000473D44A33B5052C09F71E14048D60DC0
6906|15.0|2G|SATELLITE|-6.040733|-74.723789|0101000020E6100000170D198F52AE52C0CD785BE9B52918C0
7697|30.0|2G|SATELLITE|-4.446528|-73.44225|0101000020E6100000FCA9F1D24D5C52C03FFED2A23EC911C0
7663|30.0|2G|SATELLITE|-4.572472|-73.766517|0101000020E6100000FEB4519D0E7152C0BB809719364A12C0
7701|30.0|2G|SATELLITE|-4.430775|-73.58735|0101000020E61000008F537424976552C0D3BCE3141DB911C0
7088|125.0|2G|SATELLITE|-5.726083|-76.009583|0101000020E61000003FE603029D0053C0EDB94C4D82E716C0
7909|75.0|2G|SATELLITE|-3.023083|-73.392083|0101000020E610000053944BE3175952C0A1BFD023462F08C0
329|30.0|2G|SATELLITE|-6.01552827106242|-76.0270401016982|0101000020E61000005B1E6806BB0153C08E81A1A4E60F18C0
330|30.0|2G|SATELLITE|-5.95481111111111|-75.964926297017|0101000020E6100000422F3A5AC1FD52C08D510001BAD117C0
336|30.0|2G|SATELLITE|-5.43685331379353|-75.8746987466069|0101000020E6100000D8A17310FBF752C0DB919F7956BF15C0
323|30.0|2G|SATELLITE|-5.72451545667695|-76.0115583358355|0101000020E6100000389A2C5FBD0053C0FB7E3F61E7E516C0
381|30.0|2G|SATELLITE|-5.04799723065309|-75.5480916895232|0101000020E61000008A6D2AEF13E352C07AD09F2F263114C0
334|30.0|2G|SATELLITE|-5.45305555555556|-75.8152777777778|0101000020E6100000842DD8822DF452C06A87A9CBEDCF15C0
7820|11.0|2G|SATELLITE|-3.743249|-73.2522|0101000020E61000004703780B245052C013471E882CF20DC0
